User ID,ID,Data Provider,Project Name,Consumer Team,Consumer Name,Consumer Description,Variation Type,Variation Value,Purpose,AI Final Decision,Human Expert: Seniority,Human Expert: Hastiness (1: Very Hasty | 7: Very Formal),Human Expert: Meaning Preservation (1: Very Different | 7: Very Similar),Time on Question (seconds),Total Elapsed Time (seconds)
user_777,3e6df138892d6908a28f951eec68f5cc902c778c4db63e23540b9c7e0bdd4f6b,Marketing Campaigns,Policy Customization Algorithm,contracts,Custom Policy Advisor,Enhances the customer interaction experience by recommending personalized policy options based on data-driven insights.,combined,"junior analyst + very hasty (typos, shorthand, missing punctuation, casual phrasing)",hey can i get access to the marketing campaign performance data? i need it to tweak algos that sugge,Reject,Senior Manager,7,7,7.27,7.38
user_777,569aece891f2a8d3ee80645eba515c0af80c714bb4036f25ac1a0d44e0b6309f,Payments,AI-driven Customer Service Enhancements,enabling-team,AI Service Enhancer,Uses AI to anticipate and resolve customer issues based on payment data anomalies.,combined,"executive/CEO + very formal (precise legal-style language, complete sentences, no contractions)","In order to enhance the experience of our customer service, it is imperative that we employ payment ",Reject,Senior Manager,7,7,32.11,39.49
user_777,bd7b9717630b7177aecf10a02c0dcbdb02b9d42dce0a5215ae1dc5d541eae71e,Order Lines,Logistics Demand Forecasting,logistics,Demand Forecasting System,Enhances stock and resource allocation by predicting product demand with high accuracy.,combined,"executive/CEO + neutral (standard professional, no particular urgency or formality)",The Logistics team intends to access the 'Order Lines' data through the API to enhance our demand fo,Accept,Senior Manager,7,7,87.12,126.62
user_777,ab19af49dfaf765c37a9852fbfac73328cdbc036ac141b7b69dc0f72121611fb,Actor,Automatic Claim Processing,claims--benefit,Automated Claims Handler,Streamlines the claim verification process by automatically validating customer identity through prior contact and payment information.,combined,"senior manager + neutral (standard professional, no particular urgency or formality)",Our application needs access to actors' contact information and payment methods to automate the proc,Accept,Senior Manager,7,7,147.18,273.8
user_777,5fbf5126f2e1e7a0840e4230d7079b429f84ebf0d88b5eeae76c855ca03fa375,Products,Product Performance Metrics,marketing,Product Success Evaluator,Analyzes product performance metrics to enhance marketing strategies and product development.,combined,"executive/CEO + very hasty (typos, shorthand, missing punctuation, casual phrasing)",need data on which items r hot reviews n return stats too wanna see how our stuff's doin n what ppl ,Reject,Junior Analyst,1,1,80.08,353.88
user_777,d2f8d46791b0306df33f72face4dbc9e79d9ea1f37c4826dd80c17167a2051b7,Order Lines,Product Return Analysis,logistics,Return Insight Analyzer,Analyzes return data to improve inventory management and reduce unwanted returns through actionable insights.,combined,"intern + very formal (precise legal-style language, complete sentences, no contractions)","Respected Sir or Madam,

I am writing to formally request access to the 'Order Lines' data. The obje",Accept,Senior Manager,7,7,266.74,620.62
user_777,3e9d3c17b0c949ed56f74adb44a8efd003c3d031797ba2bf40eab4984da48d97,Marketing Campaigns,Customer Segmentation Enhancement,underwriting,Segment Insight Enhancer,Enhances customer segmentation models by integrating various data sources for better targeting of underwriting offers.,combined,"intern + very hasty (typos, shorthand, missing punctuation, casual phrasing)","hey, need access to the marketing campaign data like start/end dates, target profiles n how they did",Reject,Mid-level Analyst,4,4,20.25,640.86
user_777,bd7b9717630b7177aecf10a02c0dcbdb02b9d42dce0a5215ae1dc5d541eae71e,Order Lines,Logistics Demand Forecasting,logistics,Demand Forecasting System,Enhances stock and resource allocation by predicting product demand with high accuracy.,combined,"junior analyst + neutral (standard professional, no particular urgency or formality)",I would like to request access to the 'Order Lines' data through the API. The Logistics team plans t,Accept,Lead,7,7,11.73,652.59
user_777,f9bac089dcd4cc6cd573eeeb5f974e75bab408a1e95ca79d30dbc63bd48a4781,Order Lines,Customer Spend Analysis,platform-team,Spend Analytics Platform,Offers insights into customer expenditure to inform loyalty programs and marketing strategies.,combined,"intern + neutral (standard professional, no particular urgency or formality)","Hi,

I would like to request access to the 'Order Lines' data. The Platform Team is looking to analy",Reject,Junior Analyst,6,5,26.25,678.84
user_777,a832a6f4996c5c43bee02d3b780ec4d9f3af0b0eba60ce713742adeb9c0d946a,Underwriting Life Insurance,New Customer Acquisition Strategy,marketing,Customer Acquisition Platform,Strategic tool to enhance new customer acquisition using targeted demographic analyses.,combined,"junior analyst + very formal (precise legal-style language, complete sentences, no contractions)",I am writing to formally request access to the public mortality models and creditworthiness data. Th,Reject,Senior Manager,7,7,61.53,740.37
user_777,ddd6996c2c695a204467776614aa52246ace9b5d015f8427e944f26c49a0b3f2,Payments,Shipping Charge Audit and Optimization,logistics,Shipping Efficiency Tracker,Analyzes and audits shipping charges to ensure consistency and accuracy in logistics.,combined,"intern + neutral (standard professional, no particular urgency or formality)",I would like to request access to detailed payment information so we can review the shipping charges,Reject,Senior Manager,7,7,313.58,1053.95
user_777,efe5995b6132a912b685011ccc6fe376e28b30dc03780017d6b27bfe49904cfa,Products,Marketing Trend Analysis,marketing,Campaign Effectiveness Tracker,Analyzes marketing data to identify successful strategies within product categories.,combined,"junior analyst + very formal (precise legal-style language, complete sentences, no contractions)",The objective is to evaluate the effectiveness of various marketing campaigns across distinct produc,Accept,Mid-level Analyst,7,7,6.25,1060.2
user_777,22ffca02f0e35cf947c83fb8927b7bbe280c5c6e77e5eff9588e385b7a3a8135,Order Lines,Dynamic Pricing Strategy Development,marketing,Dynamic Pricing Engine,Enables strategic pricing adjustments based on demand analysis to optimize revenue.,combined,"executive/CEO + very formal (precise legal-style language, complete sentences, no contractions)","The Marketing Department hereby requests access to the dataset labeled ""Order Lines"" for the purpose",Accept,Lead,7,7,11.62,1071.83
user_777,ccf085ed0eca44d6c24d68f764389e2d6b1d182ffedffa60d99cc70d59d37272,Actor,Customer Trust Analysis,marketing,Customer Trust Management,Enhances customer relations and trust by improving communication related to data and privacy practices.,combined,"intern + neutral (standard professional, no particular urgency or formality)",I'm looking to get access to contact info and past data usage consents from people with current cont,Accept,Junior Analyst,6,7,10.71,1082.54
user_777,3b5a95f87aa3a4e334a5991082808585dedc2531a3a8eddfe28e20ba9ed1455c,Life Insurance Contracts,Medical History Analysis for Fraud Detection,claims--benefit,Fraud Detection System,Detects potentially fraudulent claims by analyzing medical records and claims data.,combined,"junior analyst + very formal (precise legal-style language, complete sentences, no contractions)",The objective of this request is to conduct an analysis of medical records associated with previous ,Reject,Senior Manager,7,6,12.89,1095.42
user_777,ac8a2ab33afbb175a22413ea976864182a046590cd60a4e1cb9565cfdfc053ba,Payments,Customer Analytics for Tailored Marketing,marketing,Customer Insights Dashboard,Gathers and analyzes customer data to enhance marketing strategies and campaign effectiveness.,none,Original Request,The objective is to leverage payment data to perform customer behavior analysis. This analysis helps,Accept,Senior Manager,7,None - Original Request,7.9,1103.32
user_777,908816ebcf06a8dd13c5e2a483109a841bb9a57bbb42febe141c726fdbc5c393,Payments,Cross-Selling Opportunities Identification,marketing,Cross-Sell Recommendation Engine,Leverages transaction data to identify and suggest cross-selling opportunities to customers.,combined,"intern + very formal (precise legal-style language, complete sentences, no contractions)",I respectfully request access to the payment data in order to identify potential cross-selling oppor,Reject,Mid-level Analyst,6,6,13.3,1116.62
user_777,ddd6996c2c695a204467776614aa52246ace9b5d015f8427e944f26c49a0b3f2,Payments,Shipping Charge Audit and Optimization,logistics,Shipping Efficiency Tracker,Analyzes and audits shipping charges to ensure consistency and accuracy in logistics.,combined,"intern + very hasty (typos, shorthand, missing punctuation, casual phrasing)",hey can i get the payment info for checking how shipping fees r applied? wanna see if there's any mi,Reject,Junior Analyst,1,5,15.76,1132.38
user_777,3e9d3c17b0c949ed56f74adb44a8efd003c3d031797ba2bf40eab4984da48d97,Marketing Campaigns,Customer Segmentation Enhancement,underwriting,Segment Insight Enhancer,Enhances customer segmentation models by integrating various data sources for better targeting of underwriting offers.,combined,"junior analyst + very formal (precise legal-style language, complete sentences, no contractions)","Dear [Recipient's Name],

I am writing to formally request access to specific marketing campaign dat",Accept,Mid-level Analyst,7,7,10.76,1143.14
user_777,c11af745bcf38d34268d01441aaeca7d65952b88b29bf84cb975a5e48d0ae803,Benefit,Claims Forecasting System,underwriting,Claims Predictor,Forecasts future claims potential to improve staffing and budget planning.,combined,"executive/CEO + very hasty (typos, shorthand, missing punctuation, casual phrasing)","Need beneficiary + date data ASAP. Gotta build models to predict claims, allocate resources better i",Reject,Mid-level Analyst,1,6,35.78,1178.92
user_777,72f2f494807873c5538a531b74d0e2eb3c2414d1a2beff92f53e5749a3883be2,Benefit,Policy Personalization Initiative,contracts,SmartPolicy Creator,A platform to align policy offerings more closely with customer needs and observed claim reasons.,none,Original Request,"To enhance our policy personalization efforts, we aim to use reason data from the claimant's context",Accept,Senior Manager,6,None - Original Request,19.34,1198.26
user_777,980f7211ecc0b9866aed87755fb597ad504e36460d4c1ed1e342f790b70a77bb,Customers,Customer Behavior Analytics,platform-team,User Behavior Dashboard,Monitors and analyzes user interactions with the platform to inform interface improvements.,combined,"executive/CEO + very hasty (typos, shorthand, missing punctuation, casual phrasing)","""Need that anon cust data asap—login freqs, order hist, etc. Team's gotta catch trends in how folks ",Accept,Mid-level Analyst,1,2,11.46,1209.72
user_777,5fbf5126f2e1e7a0840e4230d7079b429f84ebf0d88b5eeae76c855ca03fa375,Products,Product Performance Metrics,marketing,Product Success Evaluator,Analyzes product performance metrics to enhance marketing strategies and product development.,combined,"intern + neutral (standard professional, no particular urgency or formality)","I'm looking to access performance data to evaluate item popularity, customer reviews, and return rat",Accept,Junior Analyst,7,7,10.19,1219.92
user_777,569aece891f2a8d3ee80645eba515c0af80c714bb4036f25ac1a0d44e0b6309f,Payments,AI-driven Customer Service Enhancements,enabling-team,AI Service Enhancer,Uses AI to anticipate and resolve customer issues based on payment data anomalies.,combined,"senior manager + neutral (standard professional, no particular urgency or formality)",I'm requesting access to payment data regarding transactional anomalies. Our aim is to train AI mode,Accept,Senior Manager,7,7,48.46,1268.38
user_777,6a45424c65f670cb4a1cd4ca4abcc75622b59f0a07594ae24f0b229c8ce5800a,Life Insurance Contracts,Life Event Trigger Identification,marketing,Life Event Trigger System,Identifies significant life changes for targeted upselling and customer engagement.,combined,"intern + very formal (precise legal-style language, complete sentences, no contractions)","The purpose of this request is to obtain access to data pertaining to significant life events, such ",Reject,Senior Manager,7,7,107.32,1375.7
user_777,daa1003c98c587ff960dc08ef8eb9ef6c5463484183a72983408a17bdebf7b70,Order,Customer Satisfaction Feedback Analysis,enabling-team,Customer Feedback Analyzer,Assesses customer feedback in relation to order fulfillment efficiency for improving service quality.,combined,"senior manager + very formal (precise legal-style language, complete sentences, no contractions)","Pursuant to the requirements of the Enabling Team's operational objectives, I am formally requesting",Accept,Director,7,7,99.85,1475.55
user_777,daa1003c98c587ff960dc08ef8eb9ef6c5463484183a72983408a17bdebf7b70,Order,Customer Satisfaction Feedback Analysis,enabling-team,Customer Feedback Analyzer,Assesses customer feedback in relation to order fulfillment efficiency for improving service quality.,combined,"intern + very hasty (typos, shorthand, missing punctuation, casual phrasing)",hey can i get access 2 order + shipping data? need it 2 match up customer complaints w/ shipping rec,Accept,Junior Analyst,1,6,47.52,1523.08
user_777,37fa85ba016c5b23aeeab56f01170bbdafaaeb853a83a843c9617482ef67a27e,Actor,Data-Driven Customer Outreach,marketing,Personalized Outreach Engine,Customizes outreach strategies tailored to individual customer preferences and behaviors to boost conversion rates.,combined,"junior analyst + very hasty (typos, shorthand, missing punctuation, casual phrasing)",hey need to get data on payment methods + data use consents fr policyholders. wanna see how ppl like,Reject,Junior Analyst,1,6,119.63,1642.71
user_777,22ffca02f0e35cf947c83fb8927b7bbe280c5c6e77e5eff9588e385b7a3a8135,Order Lines,Dynamic Pricing Strategy Development,marketing,Dynamic Pricing Engine,Enables strategic pricing adjustments based on demand analysis to optimize revenue.,combined,"intern + neutral (standard professional, no particular urgency or formality)","Hi [Recipient's Name],

I hope you're doing well. Could I please get access to the 'Order Lines' dat",Reject,Lead,5,7,50.68,1693.39
user_777,f9bac089dcd4cc6cd573eeeb5f974e75bab408a1e95ca79d30dbc63bd48a4781,Order Lines,Customer Spend Analysis,platform-team,Spend Analytics Platform,Offers insights into customer expenditure to inform loyalty programs and marketing strategies.,combined,"junior analyst + very formal (precise legal-style language, complete sentences, no contractions)","Dear [Recipient's Name],

I am writing to formally request access to the 'Order Lines' data set. The",Reject,Senior Manager,7,7,27.61,1721
