Variation Type,Variation Value,Total,Accepted,Rejected,Acceptance Rate(%),Rejection Rate(%)
None,Original Request,66,42,24,63.6,36.4
combined,"executive/CEO + neutral (standard professional, no particular urgency or formality)",66,36,30,54.5,45.5
combined,"executive/CEO + very formal (precise legal-style language, complete sentences, no contractions)",66,45,21,68.2,31.8
combined,"executive/CEO + very hasty (typos, shorthand, missing punctuation, casual phrasing)",66,26,40,39.4,60.6
combined,"intern + neutral (standard professional, no particular urgency or formality)",66,33,33,50.0,50.0
combined,"intern + very formal (precise legal-style language, complete sentences, no contractions)",66,37,29,56.1,43.9
combined,"intern + very hasty (typos, shorthand, missing punctuation, casual phrasing)",66,20,46,30.3,69.7
combined,"junior analyst + neutral (standard professional, no particular urgency or formality)",66,35,31,53.0,47.0
combined,"junior analyst + very formal (precise legal-style language, complete sentences, no contractions)",66,40,26,60.6,39.4
combined,"junior analyst + very hasty (typos, shorthand, missing punctuation, casual phrasing)",66,19,47,28.8,71.2
combined,"senior manager + neutral (standard professional, no particular urgency or formality)",66,40,26,60.6,39.4
combined,"senior manager + very formal (precise legal-style language, complete sentences, no contractions)",66,38,28,57.6,42.4
combined,"senior manager + very hasty (typos, shorthand, missing punctuation, casual phrasing)",66,26,40,39.4,60.6

TOTAL,,858,437,421,50.9,49.1
